Timestamp,PPS,Avg_Latency_ms,Mode,Workers
20:54:44,241.25,0.5463,PARALLEL,8
20:54:45,174.15,0.5405,PARALLEL,8
20:54:46,171.89,0.5327,PARALLEL,8
20:58:43,0.42,2.0509,PARALLEL,8
20:58:45,11.38,0.5454,PARALLEL,8
20:58:46,22.77,0.7531,PARALLEL,8
20:58:48,8.25,0.7251,PARALLEL,8
20:58:49,87.95,0.5364,PARALLEL,8
20:58:50,236.40,0.3752,PARALLEL,8
20:58:51,15.36,0.3769,PARALLEL,8
20:58:53,18.72,0.3834,PARALLEL,8
20:58:54,6.55,0.3763,PARALLEL,8
20:58:55,69.09,0.3619,PARALLEL,8
20:58:57,18.73,0.3681,PARALLEL,8
20:58:58,32.80,0.3888,PARALLEL,8
20:58:59,19.91,0.3969,PARALLEL,8
20:59:01,5.42,0.4036,PARALLEL,8
20:59:03,17.55,0.4223,PARALLEL,8
20:59:04,11.00,0.4275,PARALLEL,8
20:59:06,14.06,0.4387,PARALLEL,8
20:59:07,38.83,0.4700,PARALLEL,8
20:59:09,4.03,0.4743,PARALLEL,8
20:59:10,14.37,0.4690,PARALLEL,8
20:59:11,18.39,0.4749,PARALLEL,8
20:59:12,13.96,0.4762,PARALLEL,8
20:59:14,31.00,0.4882,PARALLEL,8
20:59:15,8.80,0.4927,PARALLEL,8
20:59:16,4.63,0.4959,PARALLEL,8
20:59:18,10.51,0.4988,PARALLEL,8
20:59:19,8.41,0.5014,PARALLEL,8
20:59:20,24.66,0.5085,PARALLEL,8
20:59:22,11.16,0.5133,PARALLEL,8
20:59:23,14.69,0.5181,PARALLEL,8
20:59:24,11.55,0.5200,PARALLEL,8
20:59:26,7.32,0.5225,PARALLEL,8
20:59:27,2.80,0.5257,PARALLEL,8
21:01:18,0.40,1.8904,PARALLEL,8
21:01:19,26.39,0.5757,PARALLEL,8
21:01:20,30.30,0.5115,PARALLEL,8
21:01:22,13.05,0.4499,PARALLEL,8
21:01:23,43.85,0.3948,PARALLEL,8
21:01:24,29.51,0.3701,PARALLEL,8
21:01:25,16.20,0.3959,PARALLEL,8
21:01:26,23.71,0.3744,PARALLEL,8
21:01:27,4.85,0.3707,PARALLEL,8
21:01:28,324.96,0.3660,PARALLEL,8
21:01:29,544.93,0.3548,PARALLEL,8
